timestamp,percent_usage
2026-05-28T13:28:38.070141,0.00
2026-05-28T13:28:39.070421,0.00
2026-05-28T13:28:40.070692,0.00
2026-05-28T13:28:41.070945,0.00
2026-05-28T13:28:42.071200,0.00
2026-05-28T13:28:43.071489,0.00
2026-05-28T13:28:44.071767,0.00
2026-05-28T13:28:45.071996,0.00
2026-05-28T13:28:46.072236,0.00
2026-05-28T13:28:47.072484,0.00
2026-05-28T13:28:48.072720,0.00
2026-05-28T13:28:49.072956,0.00
2026-05-28T13:28:50.073191,0.00
2026-05-28T13:28:51.073426,0.00
2026-05-28T13:28:52.073652,0.00
2026-05-28T13:28:53.073864,0.00
2026-05-28T13:28:54.074079,0.00
2026-05-28T13:28:55.074297,0.00
2026-05-28T13:28:56.074524,0.00
2026-05-28T13:28:57.074738,0.00
2026-05-28T13:28:58.074958,0.00
2026-05-28T13:28:59.075174,0.00
2026-05-28T13:29:00.075388,0.00
2026-05-28T13:29:01.075581,0.00
2026-05-28T13:29:02.075792,0.00
2026-05-28T13:29:03.076010,0.00
2026-05-28T13:29:04.076234,0.00
2026-05-28T13:29:05.076458,0.00
2026-05-28T13:29:06.076656,0.00
2026-05-28T13:29:07.076870,0.00
2026-05-28T13:29:08.077082,0.00
2026-05-28T13:29:09.077300,0.00
2026-05-28T13:29:10.077508,0.00
2026-05-28T13:29:11.077711,0.00
2026-05-28T13:29:12.077920,0.00
2026-05-28T13:29:13.078138,0.00
2026-05-28T13:29:14.078332,0.00
2026-05-28T13:29:15.078553,0.00
2026-05-28T13:29:16.078750,0.00
2026-05-28T13:29:17.078960,0.00
2026-05-28T13:29:18.079207,0.00
2026-05-28T13:29:19.079492,0.00
2026-05-28T13:29:20.079694,0.00
2026-05-28T13:29:21.079901,0.00
2026-05-28T13:29:22.080110,0.00
2026-05-28T13:29:23.080377,0.00
2026-05-28T13:29:24.080706,0.00
2026-05-28T13:29:25.081010,0.00
2026-05-28T13:29:26.081233,0.00
2026-05-28T13:29:27.081441,0.00
2026-05-28T13:29:28.081654,0.00
2026-05-28T13:29:29.081907,0.00
2026-05-28T13:29:30.082220,0.00
2026-05-28T13:29:31.082570,0.00
2026-05-28T13:29:32.082851,0.00
2026-05-28T13:29:33.083225,0.00
2026-05-28T13:29:34.083476,0.00
2026-05-28T13:29:35.083730,0.00
2026-05-28T13:29:36.083958,0.00
2026-05-28T13:29:37.084178,0.00
2026-05-28T13:29:38.084411,0.00
2026-05-28T13:29:39.084653,0.00
2026-05-28T13:29:40.084862,0.00
2026-05-28T13:29:41.085137,0.00
2026-05-28T13:29:42.085409,0.00
2026-05-28T13:29:43.085720,0.00
2026-05-28T13:29:44.086014,0.00
2026-05-28T13:29:45.086336,0.00
2026-05-28T13:29:46.086657,0.00
2026-05-28T13:29:47.086948,0.00
2026-05-28T13:29:48.087246,0.00
2026-05-28T13:29:49.087518,0.00
2026-05-28T13:29:50.087791,0.00
2026-05-28T13:29:51.088079,0.00
2026-05-28T13:29:52.088429,0.00
2026-05-28T13:29:53.088731,0.00
2026-05-28T13:29:54.089036,0.00
2026-05-28T13:29:55.089368,0.00
2026-05-28T13:29:56.089678,0.00
2026-05-28T13:29:57.089997,0.00
2026-05-28T13:29:58.090290,0.00
2026-05-28T13:29:59.090616,0.00
2026-05-28T13:30:00.090893,0.00
2026-05-28T13:30:01.091200,0.00
2026-05-28T13:30:02.091544,0.00
2026-05-28T13:30:03.091870,0.00
2026-05-28T13:30:04.092170,0.00
2026-05-28T13:30:05.092483,0.00
2026-05-28T13:30:06.092784,0.00
2026-05-28T13:30:07.093044,0.00
2026-05-28T13:30:08.093334,0.00
2026-05-28T13:30:09.093626,0.00
2026-05-28T13:30:10.093926,0.00
2026-05-28T13:30:11.094205,0.00
2026-05-28T13:30:12.094511,0.00
2026-05-28T13:30:13.094790,0.00
2026-05-28T13:30:14.095088,0.00
2026-05-28T13:30:15.095373,0.00
2026-05-28T13:30:16.095684,0.00
2026-05-28T13:30:17.096025,0.00
2026-05-28T13:30:18.096314,0.00
2026-05-28T13:30:19.096590,0.00
2026-05-28T13:30:20.096838,0.00
2026-05-28T13:30:21.097129,0.00
2026-05-28T13:30:22.097359,0.00
2026-05-28T13:30:23.097616,0.00
2026-05-28T13:30:24.097891,0.00
2026-05-28T13:30:25.098194,0.00
2026-05-28T13:30:26.098546,0.00
2026-05-28T13:30:27.098754,0.00
2026-05-28T13:30:28.099029,0.00
2026-05-28T13:30:29.099328,0.00
2026-05-28T13:30:30.099559,0.00
2026-05-28T13:30:31.099744,0.00
2026-05-28T13:30:32.100004,0.00
2026-05-28T13:30:33.100260,0.00
2026-05-28T13:30:34.100522,0.00
2026-05-28T13:30:35.100793,0.00
2026-05-28T13:30:36.101055,0.00
2026-05-28T13:30:37.101312,0.00
2026-05-28T13:30:38.101617,0.00
2026-05-28T13:30:39.101921,0.00
2026-05-28T13:30:40.102226,0.00
2026-05-28T13:30:41.102490,0.00
2026-05-28T13:30:42.102788,0.00
2026-05-28T13:30:43.103053,0.00
2026-05-28T13:30:44.103327,0.00
2026-05-28T13:30:45.103588,0.00
2026-05-28T13:30:46.103842,0.00
2026-05-28T13:30:47.104133,0.00
2026-05-28T13:30:48.104396,0.00
2026-05-28T13:30:49.104654,0.00
2026-05-28T13:30:50.104900,0.00
2026-05-28T13:30:51.105161,0.00
2026-05-28T13:30:52.105511,0.00
2026-05-28T13:30:53.105817,0.00
2026-05-28T13:30:54.106110,0.00
2026-05-28T13:30:55.106403,0.00
2026-05-28T13:30:56.106689,0.00
2026-05-28T13:30:57.106981,0.00
2026-05-28T13:30:58.107270,0.00
2026-05-28T13:30:59.107556,0.00
2026-05-28T13:31:00.107843,0.00
2026-05-28T13:31:01.108126,0.00
2026-05-28T13:31:02.108373,0.00
2026-05-28T13:31:03.108632,0.00
2026-05-28T13:31:04.108895,0.00
2026-05-28T13:31:05.109144,0.00
2026-05-28T13:31:06.109433,0.00
2026-05-28T13:31:07.109713,0.00
2026-05-28T13:31:08.110021,0.00
2026-05-28T13:31:09.110327,0.00
2026-05-28T13:31:10.110626,0.00
2026-05-28T13:31:11.110926,0.00
2026-05-28T13:31:12.111227,0.00
2026-05-28T13:31:13.111532,0.00
2026-05-28T13:31:14.111808,0.00
2026-05-28T13:31:15.112052,0.00
2026-05-28T13:31:16.112297,0.00
2026-05-28T13:31:17.112545,0.00
2026-05-28T13:31:18.112756,0.00
2026-05-28T13:31:19.112967,0.00
2026-05-28T13:31:20.113188,0.00
2026-05-28T13:31:21.113415,0.00
2026-05-28T13:31:22.113629,0.00
2026-05-28T13:31:23.113849,0.00
2026-05-28T13:31:24.114093,0.00
2026-05-28T13:31:25.114358,0.00
2026-05-28T13:31:26.114597,0.00
2026-05-28T13:31:27.115067,0.00
2026-05-28T13:31:28.115276,0.00
2026-05-28T13:31:29.115505,0.00
2026-05-28T13:31:30.115944,0.00
2026-05-28T13:31:31.116218,0.00
